serial_no,C1,C2,C3,C4,C5,C6,C7,C8
553,553,553,14700,70,4.25,18,Healthy,Live
554,554,554,24800,80,6.5,24,Healthy,Closed
555,555,555,13200,60,4.25,18,Healthy,Closed
556,556,556,23200,80,6.5,24,Healthy,Closed
557,557,557,16800,80,6.25,24,Healthy,Closed
558,558,558,21700,70,4.25,18,Healthy,Closed
559,559,559,57600,90,7,30,Healthy,Closed
560,560,560,16800,60,5.25,24,Healthy,Closed
561,561,561,20300,70,4.25,18,Healthy,Closed
562,562,562,21700,70,4.25,18,Healthy,Closed
563,563,563,15400,70,5.5,24,Healthy,Closed
564,564,564,13200,60,4.25,18,Healthy,Live
565,565,565,28000,80,6.5,24,Healthy,Closed
566,566,566,15200,80,5.25,18,Healthy,Closed
567,567,567,16800,80,5.25,18,Healthy,Closed
568,568,568,30400,80,6.5,24,Healthy,Closed
569,569,569,20300,70,4.25,18,Healthy,Closed
570,570,570,44800,70,5.75,30,Healthy,Closed
571,571,571,35200,80,7.5,36,Healthy,Closed
572,572,572,23200,80,6.5,24,Healthy,Closed
573,573,573,15400,70,4.5,18,Healthy,Closed
574,574,574,51200,80,7.25,24,Healthy,Live
575,575,575,17400,60,4.25,18,Healthy,Closed
576,576,576,30400,80,6.5,24,Healthy,Live
577,577,577,23200,80,5.5,18,Healthy,Closed
578,578,578,8700,30,4.25,18,Unhealthy,Live
579,579,579,23200,80,6.5,24,Defaulted,
580,580,580,27900,90,6.75,24,Healthy,Closed
581,581,581,23200,80,5.5,18,Healthy,Closed
582,582,582,19200,80,6.25,30,Defaulted,
583,583,583,27900,90,6.5,24,Defaulted,
584,584,584,19200,80,5.25,18,Healthy,Closed
585,585,585,31500,90,8.75,54,Healthy,Live
586,586,586,25200,90,7.75,36,Healthy,Closed
587,587,587,19800,90,6.5,30,Defaulted,
588,588,588,26100,90,7.75,36,Defaulted,
589,589,589,28000,80,5.5,18,Defaulted,
590,590,590,34200,90,6.5,30,Healthy,Closed
591,591,591,51200,80,7.75,42,Unhealthy,Live
592,592,592,19200,80,5.25,18,Healthy,Live
593,593,593,9500,50,4.25,12,Healthy,Closed
594,594,594,20300,70,4.5,18,Healthy,Closed
595,595,595,19600,70,4.5,18,Healthy,Closed
596,596,596,23200,80,5.5,18,Healthy,Closed
597,597,597,24500,70,4.5,18,Healthy,Closed
598,598,598,28000,80,6.5,24,Healthy,Live
599,599,599,22400,80,6.25,24,Healthy,Closed
600,600,600,12000,50,4.25,12,Healthy,Closed
601,601,601,16800,60,4.5,18,Healthy,Closed
602,602,602,26600,70,5.75,24,Unhealthy,Live
603,603,603,7000,20,4.25,12,Healthy,Closed
604,604,604,8800,40,4.25,12,Healthy,Closed
605,605,605,5600,20,4.25,12,Healthy,Closed
606,606,606,8700,30,4.25,12,Healthy,Closed
607,607,607,9600,40,4.25,12,Healthy,Closed
608,608,608,11200,40,4.25,12,Healthy,Closed
609,609,609,16800,70,4.5,18,Healthy,Closed
610,610,610,38400,80,6.25,18,Healthy,Closed
611,611,611,6300,30,4.25,12,Healthy,Closed
612,612,612,16800,70,4.5,12,Healthy,Closed
613,613,613,6300,30,4.25,12,Healthy,Closed
614,614,614,21000,60,4.75,18,Healthy,Closed
615,615,615,12400,40,4.5,12,Healthy,Closed
616,616,616,17400,60,4.5,18,Healthy,Closed
617,617,617,17400,60,4.5,18,Healthy,Closed
618,618,618,12000,50,4.5,18,Healthy,Closed
619,619,619,13200,60,4.5,12,Healthy,Closed
620,620,620,6300,30,4.25,12,Healthy,Closed
621,621,621,14500,50,4.5,12,Healthy,Closed
622,622,622,9500,50,4.25,12,Healthy,Closed
623,623,623,11000,50,4.25,12,Healthy,Closed
624,624,624,18600,60,4.5,18,Healthy,Closed
625,625,625,17400,60,4.5,18,Healthy,Live
626,626,626,12400,40,4.25,12,Healthy,Closed
627,627,627,14500,50,4.25,12,Healthy,Closed
628,628,628,24500,70,4.5,18,Healthy,Closed
629,629,629,0,0,NULL,NULL,None,
630,630,630,21700,70,4.5,12,Healthy,Closed
631,631,631,0,0,NULL,NULL,None,
632,632,632,34200,90,6.5,30,Healthy,Closed
633,633,633,33600,70,6.5,42,Defaulted,
634,634,634,25200,90,6.5,24,Defaulted,
635,635,635,57600,90,10,60,Healthy,Live
636,636,636,51300,90,7.75,42,Healthy,Live
637,637,637,0,0,NULL,NULL,None,
638,638,638,0,0,NULL,NULL,None,
639,639,639,17400,60,4.5,18,Healthy,Closed
640,640,640,15500,50,4.5,18,Healthy,Closed
641,641,641,0,0,NULL,NULL,None,
642,642,642,21000,60,4.5,18,Unhealthy,Live
643,643,643,11200,40,4.25,12,Healthy,Closed
644,644,644,8400,40,4.25,12,Healthy,Closed
645,645,645,0,0,NULL,NULL,None,
646,646,646,15500,50,4.5,12,Healthy,Closed
647,647,647,0,0,NULL,NULL,None,
648,648,648,4400,20,4,12,Healthy,Closed
649,649,649,14500,50,4.25,12,Healthy,Closed
650,650,650,17400,60,4.5,18,Unhealthy,Live
651,651,651,8700,30,4.25,12,Healthy,Closed
652,652,652,22400,80,6.25,30,Healthy,Closed
653,653,653,28000,80,6.5,30,Healthy,Closed
654,654,654,16800,80,5.25,18,Defaulted,
655,655,655,26100,90,7.5,36,Healthy,Closed
656,656,656,15200,80,5.25,18,Healthy,Live
657,657,657,8800,40,4.25,12,Healthy,Closed
658,658,658,8400,40,4.25,12,Healthy,Closed
659,659,659,24500,70,4.5,18,Healthy,Closed
660,660,660,24800,80,6.5,24,Healthy,Closed
661,661,661,13300,70,4.25,18,Healthy,Closed
662,662,662,6300,30,4.25,12,Healthy,Closed
663,663,663,7200,30,4.25,12,Healthy,Closed
664,664,664,8400,30,4.25,12,Healthy,Closed
665,665,665,16800,60,4.5,12,Healthy,Closed
666,666,666,11600,40,4.25,12,Healthy,Closed
667,667,667,6600,30,4.25,12,Healthy,Closed
668,668,668,14500,50,4.25,12,Healthy,Closed
669,669,669,0,0,NULL,NULL,None,
670,670,670,0,0,NULL,NULL,None,
671,671,671,11400,60,4.25,18,Healthy,Closed
672,672,672,28000,80,5.5,18,Healthy,Closed
673,673,673,12600,60,4.25,18,Healthy,Closed
674,674,674,57600,90,7,24,Healthy,Closed
675,675,675,35200,80,6.5,24,Healthy,Closed
676,676,676,24500,70,5.5,24,Healthy,Closed
677,677,677,57600,90,8,36,Healthy,Closed
678,678,678,20300,70,4.25,18,Healthy,Closed
679,679,679,7200,30,4.25,12,Healthy,Closed
680,680,680,8400,40,4.25,12,Healthy,Closed
681,681,681,0,0,NULL,NULL,None,
682,682,682,0,0,NULL,NULL,None,
683,683,683,11200,40,4.25,12,Healthy,Closed
684,684,684,0,0,NULL,NULL,None,
685,685,685,17400,60,4.5,12,Healthy,Closed
686,686,686,30800,70,4.75,18,Healthy,Closed
687,687,687,38400,60,4.75,18,Healthy,Closed
688,688,688,0,0,NULL,NULL,None,
689,689,689,0,0,NULL,NULL,None,
690,690,690,0,0,NULL,NULL,None,
691,691,691,26600,70,4.5,18,Healthy,Closed
692,692,692,21000,60,4.25,18,Healthy,Closed
693,693,693,0,0,NULL,NULL,None,
694,694,694,17400,60,4.25,18,Healthy,Closed
695,695,695,26100,90,8.5,30,Healthy,Live
696,696,696,16800,80,6.75,18,Healthy,Closed
697,697,697,15400,70,6.5,24,Healthy,Closed
698,698,698,16800,80,7.75,24,Healthy,Closed
699,699,699,31500,90,7,24,Healthy,Closed
